Id,Nom,Cle,Description,type,Source
143,Cor du Valhalla,cor-du-valhalla ,"Vous pouvez utiliser une action pour souffler dans ce cor. En réponse, des esprits guerriers venant du Valhalla apparaissent dans un rayon de 18 mètres autour de vous. Ils utilisent les statistiques du <a href=""https://www.aidedd.org/dnd/monstres.php?vf=berserker"">berserker</a>. Ils retournent au Valhalla au bout d'une heure ou lorsqu'ils tombent à 0 point de vie. Une fois que vous avez utilisé le cor, il ne peut pas être réutilisé avant que 7 jours ne se soient écoulés.

","Objet merveilleux, rare (argent ou airain) très rare (bronze) ou légendaire (fer)",Dungeon Master´s Guide (SRD)
144,Corde d'enchevêtrement,corde-d-enchevetrement ,"Cette corde est longue de 9 mètres et pèse 1,5 kg. Si vous tenez un bout de la corde et utilisez votre action pour prononcer le mot de commande, l'autre extrémité se précipite vers une créature que vous pouvez voir et se trouvant à 6 mètres de vous maximum pour l'enchevêtrer. La cible doit réussir un jet de sauvegarde de Dextérité DD 15 sous peine d'être entravée.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
145,Corde d'escalade,corde-d-escalade ,"Cette corde de soie longue de 18 mètres pèse 1,5 kg et peut supporter un poids maximal de 1500 kg. Si vous tenez un bout de la corde et utilisez une action pour prononcer le mot de commande, la corde s'anime. Par une action bonus, vous pouvez ordonner à l'autre extrémité de se déplacer jusqu'à la destination de votre choix. Cette extrémité se déplace alors de 3 mètres pendant votre tour au moment où vous lui avez donner votre premier ordre, puis elle continue de se déplacer de 3 mètres à chacun de vos tours suivants jusqu'à ce qu'elle atteigne sa destination, jusqu'à ce qu'elle ait parcouru une distance égale à sa longueur, ou jusqu'à ce que vous lui ordonniez de s'arrêter. Vous pouvez également demander à la corde de s'attacher en toute sécurité à un objet ou de se détacher, de se nouer ou de se dénouer, ou de s'enrouler pour pouvoir la ranger.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
146,Corde réparable,corde-reparable ,"Vous pouvez couper cette corde de chanvre de 15 mètres en un nombre quelconque de petits morceaux, puis utiliser une action pour prononcer un mot de commande et faire en sorte que tous les morceaux se recollent. Les pièces doivent être en contact les unes avec les autres et ne pas être utilisées pour autre chose. Une corde réparable est à jamais coupée si une partie de celle-ci est perdue ou détruite.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
147,Corne d'alarme silencieuse,corne-d-alarme-silencieuse ,"Cette corne possède 4 charges. Lorsque vous utilisez une action pour souffler dans la corne, une créature de votre choix peut l'entendre retentir, à condition qu'elle se trouve dans un rayon de 180 mètres autour de la corne et qu'elle ne soit pas assourdie. Aucune autre créature n'entend le son provenant de la corne. Le cor récupère 1d4 charges dépensées chaque jour à l'aube.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
148,Cornet acoustique,cornet-acoustique ,"Si vous le portez à votre oreille, ce cornet supprime les effets de l'état assourdi sur vous-même, vous permettant d'entendre normalement.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
149,Cruche alchimique,cruche-alchimique ,"Cette cruche en céramique semble être en mesure de contenir 4 litres de liquide et pèse 6 kg, vide ou pleine. Des sons de ballonnements se font entendre de l'intérieur de la jarre quand elle est secouée, même si elle est vide.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (BR)
150,Cube de force,cube-de-force ,"Ce cube fait environ 2,50 cm d'arête. Chaque face possède une marque distincte sur laquelle on peut appuyer. Le cube débute en possédant 36 charges, et il récupère 1d20 charges dépensées chaque jour à l'aube.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
151,Cube des plans,cube-des-plans ,"Ce cube de 7,50 cm de côté irradie une énergie magique palpable. Les six faces du cube sont chacune reliées à un plan d'existence différent, dont l'un d'eux est le plan matériel. Les autres faces sont reliées à des plans choisis par le MD.

","Objet merveilleux, légendaire",Dungeon Master´s Guide (SRD)
152,Dague venimeuse,dague-venimeuse ,"Vous obtenez un bonus de +1 aux jets d'attaque et de dégâts réalisés avec cette arme magique.

","Arme (dague), rare",Dungeon Master´s Guide (SRD)
153,Dé de charlatan,de-de-charlatan ,"Chaque fois que vous lancez ce dé à six faces, vous pouvez contrôler le résultat.

","Objet merveilleux, commun (nécessite un lien)",Xanathar´s Guide to Everything
154,Déluge,deluge ,"Déluge est un puissant marteau de guerre forgé par les nains et perdu dans le donjon de la Montagne de la Plume Blanche.

","Arme (marteau de guerre), légendaire (nécessite un lien avec un nain)",Dungeon Master´s Guide
155,Diadème de destruction,diademe-de-destruction ,"Tant que vous êtes équipé de ce diadème, vous pouvez l'utiliser en prenant une action pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=rayon-ardent"">rayon ardent</a>. Lorsque vous effectuez le jet d'attaque avec un sort, vous le faite en utilisant un bonus de +5 à l'attaque. Le diadème ne peut être réutilisé de la sorte avant la prochaine aube.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
156,Élixir de jouvence,elixir-de-jouvence ,"Lorsque vous buvez cette potion, votre âge physique est réduit de 1d6 + 6 ans, jusqu'à un minimum de 13 ans. Par la suite, chaque fois que vous buvez de nouveau une potion de longévité, il y a une probabilité cumulative de 10 % que la potion vous fasse vieillir de 1d6 + 6 ans au lieu de rajeunir. Une queue de scorpion, un croc de vipère, une araignée morte et un tout petit cœur qui, contre toute attente, bat encore, sont en suspension dans ce liquide ambre. Les ingrédients disparaissent lorsque la potion est ouverte.

","Potion, très rare",Dungeon Master´s Guide (BR)
157,Élixir de santé,elixir-de-sante ,"Lorsque vous buvez cette potion, elle guérit de toute maladie qui vous afflige, et supprime les états aveuglé, assourdi, paralysé et empoisonné. Le liquide rouge clair possède de minuscules bulles de lumière.

","Potion, rare",Dungeon Master´s Guide (BR)
158,Encensoir de contrôle des élémentaires de l'air,encensoir-de-controle-des-elementaires-de-l-air ,"Tant que de l'encens brûle dans cet encensoir, vous pouvez utiliser une action pour prononcer le mot de commande de l'encensoir et invoquer un élémentaire de l'air, comme si vous aviez lancé le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=invocation-d-elementaire"">invocation d'élémentaire</a>. L'encensoir ne peut être réutilisé de la sorte avant la prochaine aube.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
159,Épée acérée,epee-aceree ,"Lorsque vous attaquez un objet avec cette épée magique et le touchez, les dés de dégâts de votre arme sont maximisés contre cette cible.

","Arme (toute épée qui inflige des dégâts tranchants), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
160,Épée ardente,epee-ardente ,"Vous pouvez utiliser une action bonus pour prononcer le mot de commande de l'épée, ce qui fait jaillir des flammes de la lame. Ces flammes génèrent une lumière vive dans un rayon de 12 mètres et une lumière faible sur 12 mètres supplémentaires. Tant que l'épée est en feu, elle inflige 2d6 dégâts de feu supplémentaires à toute cible qu'elle touche. Les flammes perdurent jusqu'à ce que vous utilisiez une action bonus pour prononcer le mot de commande de nouveau, ou jusqu'à ce que vous lâchiez l'épée ou la rengainiez.

","Arme (toute épée), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
161,Épée dansante,epee-dansante ,"Vous pouvez utiliser une action bonus pour lancer cette épée magique dans les airs et prononcer le mot de commande. Une fois fait, l'épée commence à léviter, se déplace en volant jusqu'à 9 mètres maximum, et attaque une créature de votre choix se trouvant à 1,50 mètre d'elle. Cette épée utilise votre jet d'attaque et votre valeur de caractéristique pour le jet de dégâts.

","Arme (toute épée), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
162,Épée de Kas,epee-de-kas ,"Lorsque Vecna gagna en puissance, il nomma un maléfique et impitoyable lieutenant, Kas à la Main Ensanglantée, en tant que garde du corps et bras droit. Cet abject scélérat lui servit de conseiller, de chef de guerre et d'assassin. Ses succès lui offrirent l'admiration de Vecna ainsi qu'une récompense : une épée intrinsèquement mauvaise, comme l'homme qui devait la manier.

","Objet merveilleux, artéfact (nécessite un lien)",Dungeon Master´s Guide
163,Épée de lumière lunaire,epee-de-lumiere-lunaire ,"Dans les ténèbres, la lame dégainée de cette épée diffuse une lumière de clair de lune, créant une lumière vive dans un rayon de 4,50 mètres et une lumière faible sur 4,50 mètres supplémentaires.

","Arme (toute épée), commun",Xanathar´s Guide to Everything
164,Épée de réponse,epee-de-reponse ,"Dans le monde de Greyhawk, seules neuf de ces épées existent. Chacune a été créée sur le modèle de l'épée Fragarach, qui peut être traduit pas « le Dernier Mot ». Chacune de ces neuf épées a son propre nom et son propre alignement, et chacune porte une gemme différente incrustée dans son pommeau.

","Arme (épée longue), légendaire (nécessite un lien avec une créature possédant le même alignement que l'épée)",Dungeon Master´s Guide
165,Épée mordante,epee-mordante ,"Les points de vie perdus à cause de dégâts infligés par cette arme ne peuvent être récupérés que par le biais d'un repos court ou long, mais pas à l'aide de capacités de régénération, de pouvoirs magiques, de sorts, ou de tout autre moyen.

","Arme (toute épée), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
166,Épée radieuse,epee-radieuse ,"Cet objet semble être une poignée d'épée longue. Lorsque vous saisissez la poignée, vous pouvez utiliser une action bonus pour faire apparaitre une lame de pure radiance, ou pour faire disparaître la lame. Lorsque la lame est sortie, l'épée longue magique a la propriété finesse. Si vous maîtrisez les épées longues ou courtes, vous maîtrisez l'épée radieuse.

","Arme (épée longue), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
167,Épée vengeresse,epee-vengeresse ,"Vous gagnez un bonus de +1 aux jets d'attaque et de dégâts effectués avec cette arme magique.

","Arme (toute épée), peu commun (nécessite un lien)",Dungeon Master´s Guide
168,Épée voleuse de vie,epee-voleuse-de-vie ,"Lorsque vous attaquez une créature avec cette arme magique et obtenez un 20 au jet d'attaque, la cible subit 10 dégâts nécrotiques supplémentaires, à condition qu'elle ne soit pas un artificiel ou un mort-vivant. Vous gagnez un nombre de points de vie temporaires égal aux dégâts supplémentaires infligés.

","Arme (toute épée), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
169,Épée vorpale,epee-vorpale ,"Vous gagnez un bonus de +3 aux jets d'attaque et de dégâts effectués avec cette arme magique. De plus, l'arme ignore la résistance aux dégâts tranchants.

","Arme (toute épée qui inflige des dégâts tranchants), légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
170,Éventail enchanté,eventail-enchante ,"Lorsque vous tenez l'éventail, vous pouvez utiliser une action pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=bourrasque"">bourrasque</a> (sauvegarde DD 13 contre celui-ci). Une fois utilisé, l'éventail ne devrait plus être réutilisé avant la prochaine aube. Chaque fois qu'il l'est de nouveau avant ce moment, il y a une chance cumulative de 20 % qu'il ne fonctionne pas et se déchire en lambeaux, inutiles non magiques.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
171,Fer gelé,fer-gele ,"Lorsque vous touchez avec une attaque utilisant cette épée magique, la cible subit 1d6 dégâts de froid supplémentaires. En outre, tant que vous tenez l'épée, vous avez la résistance aux dégâts de feu. Dans des températures de congélation, la lame émet en lumière vive dans un rayon de 3 mètres et une lumière faible sur 3 mètres supplémentaires.

","Arme (toute épée), très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
172,Fers de rapidité,fers-de-rapidite ,"Ces fers à cheval se trouvent par lot de quatre. Tant que les quatre fers sont fixés aux sabots d'un cheval ou d'une créature similaire, ils augmentent la vitesse de déplacement de la créature de 9 mètres.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
173,Fers de zéphyr,fers-de-zephyr ,"Ces fers à cheval se trouvent par lot de quatre. Tant que les quatre fers sont fixés aux sabots d'un cheval ou d'une créature similaire, ils permettent à la créature de se déplacer normalement tout en flottant à 10 cm du sol. Grâce à cet effet, la créature peut traverser ou rester au-dessus de surfaces non solides ou instables, comme l'eau ou la lave. La créature ne laisse aucune trace et ignore les terrains difficiles. De plus, la créature peut se déplacer à sa vitesse de déplacement normale pendant une durée maximale de 12 heures par jour sans souffrir de l'épuisement dû à une marche forcée.

","Objet merveilleux, très rare",Dungeon Master´s Guide (SRD)
174,Mouche géante,figurine-merveilleuse ,"Une figurine merveilleuse est une statuette de bête suffisamment petite pour être placée dans une poche. Si vous utilisez une action pour prononcer le mot de commande et lancez la figurine au sol dans un rayon de 18 mètres autour de vous, celle-ci devient une créature vivante. Si l'espace est déjà occupé par une autre créature ou s'il n'y a pas assez d'espace, la figurine ne prend pas la forme d'une créature.
 class=""orange"">","Objet merveilleux, rareté selon le type de statuette",Dungeon Master´s Guide (SRD)
175,Flasque de fer,flasque-de-fer ,"Cette urne en fer possède un bouchon en laiton. Vous pouvez utiliser une action pour prononcer le mot de commande de la flasque, tout en ciblant une créature que vous pouvez voir et se trouvant à 18 mètres de vous maximum. Si la cible est native d'un autre plan d'existence que celui sur lequel vous vous trouvez, la cible doit réussir un jet de sauvegarde de Sagesse DD 17 sous peine d'être emprisonnée dans la flasque. Si la cible a déjà été emprisonnée dans la flasque par le passé, elle a un avantage à son jet de sauvegarde. Une fois capturée, une créature reste dans la flasque jusqu'à ce qu'elle soit libérée. La flasque ne peut contenir qu'une seule créature à la fois. Une créature prisonnière de la flasque n'a pas besoin de respirer, manger, ou boire, et ne vieillit pas.

","Objet merveilleux, légendaire",Dungeon Master´s Guide (SRD)
176,Flèche incassable,fleche-incassable ,"Cette flèche ne peut pas être brisée, sauf si elle se trouve dans un champ antimagie.

","Arme (flèche), commun",Xanathar´s Guide to Everything
177,Flèche tueuse,fleche-tueuse ,"Une flèche tueuse est une arme magique destinée à abattre un type de créature en particulier. Certaines sont plus spécifiques que d'autres ; par exemple, il existe des flèches tueuses de dragons et des flèches tueuses de dragons bleu. Si une créature appartenant au type, à la race ou au groupe associé à la flèche tueuse subit des dégâts de cette flèche, cette créature doit effectuer un jet de sauvegarde de Constitution DD 17, subissant 6d10 dégâts perforants supplémentaires en cas d'échec, ou la moitié de ces dégâts supplémentaires en cas de réussite.

","Arme (flèche), très rare",Dungeon Master´s Guide (SRD)
178,Flûte des égouts,flute-des-egouts ,"Vous devez avoir la maîtrise des instruments à vent pour utiliser cette flûte. Tant que vous êtes lié à cette flûte, les rats ordinaires et les rats géants sont indifférent à votre égard à moins que vous ne les attaquiez, les menaciez ou les blessiez.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
179,Flûte terrifiante,flute-terrifiante ,"Vous devez avoir la maîtrise des instruments à vent pour pouvoir utiliser cette flûte. Elle a 3 charges. Par une action vous pouvez jouer de cette flûte et dépenser une charge pour produire un air envoûtant et mystérieux. Chaque créature dans les 9 mètres qui vous entend jouer doit réussir un jet de sauvegarde de Sagesse DD 15 ou être effrayée pendant 1 minute. Si vous le souhaitez, toutes les créatures à portée qui ne vous sont pas hostiles peuvent réussir automatiquement ce jet de sauvegarde. Une créature qui échoue peut retenter le jet de sauvegarde à la fin de chacun de ses tours, mettant ainsi fin à l'effet en cas de réussite. Une créature qui réussit le jet de sauvegarde devient immunisée contre cette flûte pour 24 heures. La flûte récupère 1d3 charges dépensées chaque jour à l'aube.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
180,Forteresse instantanée de Daern,forteresse-instantanee-de-daern ,"Vous pouvez utiliser une action pour poser sur le sol ce cube métallique de 2,50 cm d'arête et prononcer le mot de commande. Le cube grandit rapidement jusqu'à prendre la forme d'une forteresse qui reste en place jusqu'à ce que vous utilisiez une action pour prononcer le mot de commande qui l'annule (mot de commande qui ne fonctionne que lorsque la forteresse est vide).

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
181,Gantelets de puissance d'ogre,gantelets-de-puissance-d-ogre ,"Votre Force est de 19 tant que vous portez ces gantelets. Les gantelets n'ont aucun effet sur vous si votre Force est de 19 ou plus sans eux.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
182,Gants de chapardeur,gants-de-chapardeur ,"Ces gants sont invisibles tant qu'ils sont portés. Tant que vous en êtes équipé, vous gagnez un bonus de +5 aux jets de Dextérité (Escamotage) et aux jets de Dextérité effectués pour crocheter des serrures.

","Objet merveilleux, peu commun",Dungeon Master´s Guide
183,Gants de nage et d'escalade,gants-de-nage-et-d-escalade ,"Lorsque vous portez ces gants, escalader et nager ne vous coûte pas de mouvement supplémentaire, et vous obtenez un bonus de +5 aux jets de Force (Athlétisme) pour escalader ou nager.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
184,Gants piégeurs de projectiles,gants-piegeurs-de-projectiles ,"Ces gants semblent fusionner avec vos mains lorsque vous les enfilez. Lorsqu'une attaque à distance avec une arme vous touche alors que vous avez équipé ces gants, vous pouvez utiliser votre réaction pour réduire les dégâts de 1d10 + votre modificateur de Dextérité, à condition que vous ayez au moins une main de libre. Si vous réduisez les dégâts à 0, vous pouvez attraper le projectile s'il est suffisamment petit pour que vous le teniez dans une main.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
185,Gardienne,gardienne ,"Vous obtenez un bonus de +3 aux jets d'attaque et de dégâts effectués avec cette arme magique.

","Arme (toute épée), légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
186,Gemme d'illumination,gemme-d-illumination ,"Ce prisme possède 50 charges. Tant que vous le tenez, vous pouvez utiliser une action pour prononcer l'un des trois mots de commande et ainsi provoquer l'un des trois effets suivants :

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
187,Gemme de vision,gemme-de-vision ,"Cette gemme possède 3 charges. En utilisant une action, vous pouvez prononcer le mot de commande de la gemme et dépenser 1 charge. Pour les 10 minutes qui suivent, vous obtenez la vision véritable à 36 mètres lorsque vous regardez au travers de la gemme. La gemme récupère 1d3 charges dépensées chaque jour à l'aube.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
188,Gemme élémentaire,gemme-elementaire ,"Cette gemme contient un brin d'énergie élémentaire. Lorsque vous utilisez une action pour briser la gemme, un élémentaire est invoqué comme si vous aviez jeté le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=invocation-d-elementaire"">invocation d'élémentaire</a>, et la magie de la gemme est perdue. Le type de gemme détermine l'élémentaire invoqué par le sort.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
189,Globe flottant,globe-flottant ,"Cette petite sphère de verre épais pèse 500 g. Si vous êtes dans un rayon de 18 mètres autour d'elle, vous pouvez prononcer son mot de commande qui lui fait émaner un sort de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=lumiere"">lumière</a> ou de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=lumiere-du-jour"">lumière du jour</a>. Une fois utilisé, l'effet de <a href=""https://www.aidedd.org/dnd/sorts.php?vf=lumiere-du-jour"">lumière du jour</a> ne peut être réutilisé avant l'aube suivante.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (BR)
190,Grimoire résistant,grimoire-resistant ,"Ce grimoire, ainsi que tout ce qui est écrit sur ses pages, ne peut pas être endommagé par le feu ou l'immersion dans l'eau. De plus, le grimoire ne se détériore pas avec l'âge.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
191,Hache des seigneurs nains,hache-des-seigneurs-nains ,"Constatant le péril auquel faisait face son peuple, un jeune prince nain en vint à croire que ses sujets avaient besoin d'être unis. Ainsi, il choisit de forger une arme qui serait le symbole de cette union.

","Arme (hache d'armes), artéfact (nécessite un lien)",Dungeon Master´s Guide
192,Hache du berserker,hache-du-berserker ,"Vous gagnez un bonus de +1 aux jets d'attaque et de dégâts effectués avec cette arme magique. De plus, tant que vous êtes lié à cette arme, votre maximum de points de vie augmente de 1 pour chaque niveau de classe que vous possédez.

","Arme (toute hache), rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
193,Harnois éthéré,harnois-ethere ,"Tant que vous portez cette armure, vous pouvez prononcer son mot de commande par une action pour gagner l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=forme-etheree"">forme éthérée</a> pendant 10 minutes ou jusqu'à ce que vous retiriez l'armure ou y mettiez fin volontairement en répétant le mot de commande. Cette propriété de l'armure ne peut être réutilisée avant la prochaine aube.

","Armure (harnois), légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
194,Harnois nain,harnois-nain ,"Lorsque vous portez cette armure, vous gagnez un bonus de +2 à la CA. En outre, si un effet vous déplace contre votre volonté au sol, vous pouvez utiliser votre réaction pour réduire la distance sur laquelle vous êtes déplacé de 3 mètres ou moins.

","Armure (harnois), très rare",Dungeon Master´s Guide (SRD)
195,Havresac magique d'Hévard,havresac-magique-d-hevard ,"Ce sac à dos possède une poche centrale et deux poches latérales, chacune d'entre elles étant un espace extradimensionnel. Chaque poche latérale peut contenir jusqu'à 10 kg de matériel, sans être plus volumineuse qu'un cube de 40 cm d'arête. La large poche centrale peut contenir 40 kg de matériel, sans être plus volumineuse qu'un cube de 60 cm d'arête. Le sac à dos pèse au total 2,5 kg, quel que soit son contenu.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
196,Heaume de compréhension des langues,heaume-de-comprehension-des-langues ,"Tant que vous êtes équipé de ce heaume, vous pouvez à volonté, par une action, l'utiliser pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=comprehension-des-langues"">compréhension des langues</a>.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
197,Heaume de télépathie,heaume-de-telepathie ,"Tant que vous êtes équipé de ce casque, vous pouvez l'utiliser, par une action, pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=detection-des-pensees"">détection des pensées</a> (sauvegarde DD 13). Aussi longtemps que vous maintenez votre concentration sur le sort, vous pouvez utiliser une action bonus pour envoyer un message télépathique à une créature sur laquelle vous vous concentrez. Elle peut répondre, en utilisant une action bonus, tant que vous continuez de vous concentrer sur elle. Tant que vous êtes concentré sur une créature en utilisant détection des pensées, vous pouvez utiliser le casque, par une action, pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=suggestion"">suggestion</a> (sauvegarde DD 13) sur cette créature. Une fois utilisée, la capacité de suggestion ne peut être réutilisée avant la prochaine aube.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
198,Heaume de téléportation,heaume-de-teleportation ,"Ce heaume possède 3 charges. Tant que vous en êtes équipé, vous pouvez l'utiliser, par une action et en dépensant 1 charge, pour lancer le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=teleportation"">téléportation</a>. Le heaume récupère 1d3 charges dépensées chaque jour à l'aube.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
199,Heaume effrayant,heaume-effrayant ,"Ce redoutable casque en acier fait briller vos yeux en rouge tant que vous le portez.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
200,Heaume scintillant,heaume-scintillant ,"Ce heaume éclatant est serti de 1d10 diamants, 2d10 rubis, 3d10 opales de feu et 4d10 opales. Toute gemme prélevée du heaume tombe en poussière. Lorsque toutes les gemmes sont enlevées ou détruites, le heaume perd sa magie.

","Objet merveilleux, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
201,Huile d'affûtage,huile-d-affutage ,"Cette huile gélatineuse et claire produit de minuscules éclats d'argent. L'huile peut recouvrir une arme tranchante ou perforante, ou jusqu'à 5 projectiles tranchants ou perforants. Appliquer l'huile prend 1 minute. Pour 1 heure, l'objet enduit est magique et donne un bonus de +3 à l'attaque et aux dégâts.

","Potion, très rare",Dungeon Master´s Guide (SRD)
202,Huile d'insaisissabilité,huile-d-insaisissabilite ,"Cet onguent noir collant est épais et pèse lourd dans le contenant, mais coule rapidement quand on le verse. L'huile peut couvrir une créature de taille M ou inférieure, ainsi que tout l'équipement qu'elle porte (un flacon supplémentaire est nécessaire pour chaque catégorie de taille au-dessus de M). L'application de l'huile prend 10 minutes. La créature affectée gagne alors l'effet du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=liberte-de-mouvement"">liberté de mouvement</a> pendant 8 heures.

","Potion, peu commun",Dungeon Master´s Guide (SRD)
203,Huile éthérée,huile-etheree ,"Des perles de cette huile grise se forment à l'extérieur de son contenant et semblent s'évaporer rapidement. L'huile peut recouvrir une créature de taille M ou plus petite, ainsi que tout l'équipement qu'elle porte ou transporte (une fiole supplémentaire est nécessaire pour chaque catégorie de taille au-delà de M). Appliquer l'huile prend 10 minutes. La créature affectée gagne alors les effets du sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=forme-etheree"">forme éthérée</a> pendant 1 heure.

","Potion, rare",Dungeon Master´s Guide (SRD)
204,Instrument à illusions,instrument-a-illusions ,"Lorsque que vous jouez de cet instrument de musique, vous pouvez créer des effets visuels inoffensifs et illusoires dans une sphère de 1,50 mètre de rayon centrée sur l'instrument. Si vous êtes un barde, le rayon passe à 4,50 mètres. Les effets visuels peuvent être des notes de musique lumineuses, un danseur spectral, des papillons ou de la neige qui tombe doucement. Les effets magiques n'ont ni substance ni son, et ils sont évidemment illusoires. Les effets se terminent lorsque vous arrêtez de jouer.

","Objet merveilleux, commun (nécessite un lien)",Xanathar´s Guide to Everything
205,Instrument à message,instrument-a-message ,"Cet instrument de musique possède 3 charges. Lorsque que vous en jouez, vous pouvez utiliser une action pour dépenser 1 charge et écrire un message magique sur un objet ou une surface non magique que vous pouvez voir dans un rayon de 9 mètres autour de vous. Le message peut contenir jusqu'à six mots et doit être rédigé dans une langue que vous connaissez. Si vous êtes un barde, vous pouvez écrire sept mots supplémentaires et choisir de faire briller faiblement le message, lui permettant d'être vu dans des ténèbres non magiques. Lancer dissipation de la magie sur le message l'efface. Sinon, le message disparaît après 24 heures. L'instrument récupère toutes les charges dépensées chaque jour à l'aube.

","Objet merveilleux, commun (nécessite un lien)",Xanathar´s Guide to Everything
206,Instrument de barde,instrument-de-barde ,"Un instrument de barde est un magnifique exemplaire dans sa catégorie, supérieur à un instrument ordinaire sous tous rapports. Sept types de ces instruments existent, chacun nommé d'après un légendaire collège bardique. La table suivante liste les sorts spécifiques à chacun des instruments ainsi que leur rareté. Une créature qui tente de jouer d'un instrument sans y être liée doit réussir un jet de sauvegarde de Sagesse DD 15 sous peine de subir 2d4 dégâts psychiques.

","Objet merveilleux, variable (nécessite un lien avec un barde)",Dungeon Master´s Guide
207,Jatte de contrôle des élémentaires de l'eau,jatte-de-controle-des-elementaires-de-l-eau ,"Une fois cette jatte remplie d'eau, vous pouvez utiliser une action pour prononcer son mot de commande et convoquer un élémentaire de l'eau comme si vous aviez lancé le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=invocation-d-elementaire"">invocation d'élémentaire</a>. La jatte ne peut être réutilisée de cette façon avant la prochaine aube.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
208,Javeline de foudre,javeline-de-foudre ,"Cette javeline est une arme magique. Quand vous la lancez et prononcez son mot de commande, elle se transforme en un éclair formant une ligne de 1,50 mètre de large qui s'étend de vous jusqu'à une cible éloignée de 36 mètres au maximum. Chaque créature sur la ligne à l'exception de vous et de la cible subit 4d6 dégâts de foudre. Un jet de sauvegarde de Dextérité DD 13 réussit permet de réduire ces dégâts de moitié. L'éclair se retransforme en javeline une fois qu'il atteint sa cible. Faites une attaque à distance contre la cible. Si vous la touchez, elle subit les dégâts de la javeline plus 4d6 dégâts de foudre. Cette propriété de la javeline ne peut être réutilisée avant la prochaine aube. Entre temps, la javeline peut toujours être utilisée comme une arme magique.

","Arme (javeline), peu commun",Dungeon Master´s Guide (SRD)
209,Lame porte-bonheur,lame-porte-bonheur ,"Vous gagnez un bonus de +1 aux jets d'attaque et de dégâts effectués avec cette arme magique. Tant que vous portez l'épée sur vous, vous bénéficiez également d'un bonus de +1 aux jets de sauvegarde.

","Arme (toute épée), légendaire (nécessite un lien)",Dungeon Master´s Guide (SRD)
