Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
173,Feu follet,Mort-vivant , TP, chaotique mauvais, 19,22 (9d4),1 (-5),28 (+9),10 (+0),13 (+1),14 (+2),11 (+0),,," foudre, poison"," acide, feu, froid, nécrotique, tonnerre ; contondant, perforant et tranchant d'attaques non magiques"," à terre, épuisement, agrippé, paralysé, empoisonné, entravé, inconscient"," vision dans le noir 36 m, Perception passive 12", les langues qu'il connaissait de son vivant, 2 (450 PX)
174,Flagelleur mental,Aberration , M, loyal mauvais, 15 (cuirasse),71 (13d8 + 13),11 (+0),12 (+1),12 (+1),19 (+4),17 (+3),17 (+3)," Arcanes +7, Discrétion +4, Intuition +6, Perception +6, Persuasion +6, Tromperie +6"," Int +7, Sag +6, Cha +6",,,," vision dans le noir 36 m, Perception passive 16"," profond, commun des profondeurs, télépathie 36 m", 7 (2900 PX)
175,Flumph,Aberration , P, loyal bon, 12,7 (2d6),6 (-2),15 (+2),10 (+0),14 (+2),14 (+2),11 (+0)," Arcanes +4, Histoire +4, Religion +4",,,,," vision dans le noir 18 m, Perception passive 12"," comprend le commun des profondeurs mais ne peut pas parler, télépathie 18 m", 1/8 (25 PX)
176,Fomorien,Géant , TG, chaotique mauvais, 14 (armure naturelle),149 (13d12 + 65),23 (+6),10 (+0),20 (+5),9 (-1),14 (+2),6 (-2)," Discrétion +3, Perception +8",,,,," vision dans le noir 36 m, Perception passive 18"," géant, commun des profondeurs", 8 (3900 PX)
177,Galeb duhr,Élémentaire , M, neutre, 16 (armure naturelle),85 (9d8 + 45),20 (+5),14 (+2),20 (+5),11 (+0),12 (+1),11 (+0),,, poison," contondant, perforant et tranchant d'attaques non magiques"," épuisement, paralysé, empoisonné, pétrifié"," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 11", terreux, 6 (2300 PX)
178,Garde,Humanoïde (toute race) , M, tout alignement," 16 (chemise de mailles, bouclier)",11 (2d8 + 2),13 (+1),12 (+1),12 (+1),10 (+0),11 (+0),10 (+0), Perception +2,,,,, Perception passive 12, une langue au choix (généralement le commun), 1/8 (25 PX)
179,Gardien animé,Artificiel , G, sans alignement, 17 (armure naturelle),142 (15d10 + 60),18 (+4),8 (-1),18 (+4),7 (-2),10 (+0),3 (-4),,, poison,," charmé, épuisement, effrayé, paralysé, empoisonné"," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 10", comprend les ordres donnés dans toutes les langues mais ne peut pas parler, 7 (2900 PX)
180,Gargouille,Élémentaire , M, chaotique mauvais, 15 (armure naturelle),52 (7d8 + 21),15 (+2),11 (+0),16 (+3),6 (-2),11 (+0),7 (-2),,, poison," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium"," épuisement, pétrifié, empoisonné"," vision dans le noir 18 m, Perception passive 10", terreux, 2 (450 PX)
181,Garou-chacal,Humanoïde (métamorphe) , M, chaotique mauvais, 12,18 (4d8),11 (+0),15 (+2),11 (+0),13 (+1),11 (+0),10 (+0)," Discrétion +4, Perception +2, Tromperie +4",," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,, Perception passive 12, commun (ne peut pas parler sous forme de chacal), 1/2 (100 PX)
182,Géant des collines,Géant , TG, chaotique mauvais, 13 (armure naturelle),105 (10d12 + 40),21 (+5),8 (-1),19 (+4),5 (-3),9 (-1),6 (-2), Perception +2,,,,, Perception passive 12, géant, 5 (1800 PX)
183,Géant des nuages,Géant , TG, neutre bon (50 %) ou neutre mauvais (50 %), 14 (armure naturelle),200 (16d12 + 96),27 (+8),10 (+0),22 (+6),12 (+1),16 (+3),16 (+3)," Intuition +7, Perception +7"," Con +10, Sag +7, Cha +7",,,, Perception passive 17," commun, géant", 9 (5000 PX)
184,Géant des pierres,Géant , TG, neutre, 17 (armure naturelle),126 (11d12 + 55),23 (+6),15 (+2),20 (+5),10 (+0),12 (+1),9 (-1)," Athlétisme +12, Perception +4"," Dex +5, Con +8, Sag +4",,,," vision dans le noir 18 m, Perception passive 14", géant, 7 (2900 PX)
185,Géant des tempêtes,Géant , TG, chaotique bon, 16 (armure d'écailles),230 (20d12 + 100),29 (+9),14 (+2),20 (+5),16 (+3),18 (+4),18 (+4)," Arcanes +8, Athlétisme +14, Histoire +8, Perception +9"," For +14, Con +10, Sag +9, Cha +9"," foudre, tonnerre", froid,, Perception passive 19," commun, géant", 13 (10000 PX)
186,Géant du feu,Géant , TG, loyal mauvais, 18 (harnois),162 (13d12 + 78),25 (+7),9 (-1),23 (+6),10 (+0),14 (+2),13 (+1)," Athlétisme +11, Perception +6"," Dex +3, Con +10, Cha +5", feu,,, Perception passive 16, géant, 9 (5000 PX)
187,Géant du givre,Géant , TG, neutre mauvais, 15 (armure composite),138 (12d12 + 60),23 (+6),9 (-1),21 (+5),9 (-1),10 (+0),12 (+1)," Athlétisme +9, Perception +3"," Con +8, Sag +3, Cha +4", froid,,, Perception passive 13, géant, 8 (3900 PX)
188,Gelée ocre,Vase , G, sans alignement, 8,45 (6d10 + 12),15 (+2),6 (-2),14 (+2),2 (-4),6 (-2),1 (-5),,," foudre, tranchant", acide," aveuglé, charmé, assourdi, épuisement, effrayé, à terre"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 8", —, 2 (450 PX)
189,"Githyanki, chevalier",Humanoïde (gith) , M, loyal mauvais, 18 (harnois),91 (14d8 + 28),16 (+3),14 (+2),15 (+2),14 (+2),14 (+2),15 (+2),," Con +5, Int +5, Sag +5",,,, Perception passive 12, gith, 8 (3900 PX)
190,"Githyanki, guerrier",Humanoïde (gith) , M, loyal mauvais, 17 (demi-plate),49 (9d8 + 9),15 (+2),14 (+2),12 (+1),13 (+1),13 (+1),10 (+0),," Con +3, Int +3, Sag +3",,,, Perception passive 11, gith, 3 (700 PX)
191,"Githzerai, moine",Humanoïde (gith) , M, loyal neutre, 14,38 (7d8 + 7),12 (+1),15 (+2),12 (+1),13 (+1),14 (+2),10 (+0)," Intuition +4, Perception +4"," For +3, Dex +4, Int +3, Sag +4",,,, Perception passive 14, gith, 2 (450 PX)
192,"Githzerai, zerth",Humanoïde (gith) , M, loyal neutre, 17,84 (13d8 + 26),13 (+1),18 (+4),15 (+2),16 (+3),17 (+3),12 (+1)," Arcanes +6, Intuition +6, Perception +6"," For +4, Dex +7, Int +6, Sag +6",,,, Perception passive 16, gith, 6 (2300 PX)
193,Glabrezu,Fiélon (démon) , G, chaotique mauvais, 17 (armure naturelle),157 (15d10 + 75),20 (+5),15 (+2),21 (+5),19 (+4),17 (+3),16 (+3),," For +9, Con +9, Sag +7, Cha +7", poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision véritable 36 m, Perception passive 13"," abyssal, télépathie 36 m", 9 (5000 PX)
194,Gladiateur,Humanoïde (toute race) , M, tout alignement," 16 (armure de cuir clouté, bouclier)",112 (15d8 + 45),18 (+4),15 (+2),16 (+3),10 (+0),12 (+1),15 (+2)," Athlétisme +10, Intimidation +5"," For +7, Dex +5, Con +6",,,, Perception passive 11, une langue au choix (généralement le commun), 5 (1800 PX)
195,Gnoll,Humanoïde (gnoll) , M, chaotique mauvais," 15 (armure de peaux, bouclier)",22 (5d8),14 (+2),12 (+1),11 (+0),6 (-2),10 (+0),7 (-2),,,,,," vision dans le noir 18 m, Perception passive 10", gnoll, 1/2 (100 PX)
196,"Gnoll, croc de Yeenoghu",Fiélon (gnoll) , M, chaotique mauvais, 14 (armure de peaux),65 (10d8 + 20),17 (+3),15 (+2),15 (+2),10 (+0),11 (+0),13 (+1),," Con +4, Sag +2, Cha +3",,,," vision dans le noir 18 m, Perception passive 10"," abyssal, gnoll", 4 (1100 PX)
197,"Gnoll, seigneur de meute",Humanoïde (gnoll) , M, chaotique mauvais, 15 (chemise de mailles),49 (9d8 + 9),16 (+3),14 (+2),13 (+1),8 (-1),11 (+0),9 (-1),,,,,," vision dans le noir 18 m, Perception passive 10", gnoll, 2 (450 PX)
198,Gnome des profondeurs (svirfnebelin),Humanoïde (gnome) , P, neutre bon, 15 (chemise de mailles),16 (3d6 + 6),15 (+2),14 (+2),14 (+2),12 (+1),10 (+0),9 (-1)," Discrétion +4, Investigation +3, Perception +2",,,,," vision dans le noir 36 m, Perception passive 12"," gnome, terreux, commun des profondeurs", 1/2 (100 PX)
199,Gobelin,Humanoïde (gobelinoïde) , P, neutre mauvais," 15 (armure de cuir, bouclier)",7 (2d6),8 (-1),14 (+2),10 (+0),10 (+0),8 (-1),8 (-1), Discrétion +6,,,,," vision dans le noir 18 m, Perception passive 9"," commun, gobelin", 1/4 (50 PX)
200,"Gobelin, chef",Humanoïde (gobelinoïde) , P, neutre mauvais," 17 (chemise de mailles, bouclier)",21 (6d6),10 (+0),14 (+2),10 (+0),10 (+0),8 (-1),10 (+0), Discrétion +6,,,,," vision dans le noir 18 m, Perception passive 9"," commun, gobelin", 1 (200 PX)
201,Gobelours,Humanoïde (gobelinoïde) , M, chaotique mauvais," 16 (armure de peaux, bouclier)",27 (5d8 + 5),15 (+2),14 (+2),13 (+1),8 (-1),11 (+0),9 (-1)," Discrétion +6, Survie +2",,,,," vision dans le noir 18 m, Perception passive 10"," commun, gobelin", 1 (200 PX)
202,"Gobelours, chef",Humanoïde (gobelinoïde) , M, chaotique mauvais," 17 (chemise de mailles, bouclier)",65 (10d8 + 20),17 (+3),14 (+2),14 (+2),11 (+0),12 (+1),11 (+0)," Discrétion +6, Intimidation +2, Survie +3",,,,," vision dans le noir 18 m, Perception passive 11"," commun, gobelin", 3 (700 PX)
203,Golem d'argile,Artificiel , G, sans alignement, 14 (armure naturelle),133 (14d10 + 56),20 (+5),9 (-1),18 (+4),3 (-4),8 (-1),1 (-5),,," acide, poison, psychique ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium",," charmé, empoisonné, épuisement, paralysé, pétrifié, effrayé"," vision dans le noir 18 m, Perception passive 9", comprend les langues de son créateur mais ne peut pas parler, 9 (5000 PX)
204,Golem de chair,Artificiel , M, neutre, 9,93 (11d8 + 44),19 (+4),9 (-1),18 (+4),6 (-2),10 (+0),5 (-3),,," foudre, poison ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium",," charmé, empoisonné, épuisement, paralysé, pétrifié, effrayé"," vision dans le noir 18 m, Perception passive 10", comprend les langues de son créateur mais ne peut pas parler, 5 (1800 PX)
205,Golem de fer,Artificiel , G, sans alignement, 20 (armure naturelle),210 (20d10 + 100),24 (+7),9 (-1),20 (+5),3 (-4),11 (+0),1 (-5),,," feu, poison, psychique ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium",," charmé, épuisement, effrayé, paralysé, pétrifié, empoisonné"," vision dans le noir 36 m, Perception passive 10", comprend les langues de son créateur mais ne peut pas parler, 16 (15000 PX)
206,Golem de pierre,Artificiel , G, sans alignement, 17 (armure naturelle),178 (17d10 + 85),22 (+6),9 (-1),20 (+5),3 (-4),11 (+0),1 (-5),,," poison, psychique ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium",," charmé, épuisement, effrayé, paralysé, pétrifié, empoisonné"," vision dans le noir 36 m, Perception passive 10", comprend les langues de son créateur mais ne peut pas parler, 10 (5900 PX)
207,Gorgone,Monstruosité , G, sans alignement, 19 (armure naturelle),114 (12d10 + 48),20 (+5),11 (+0),18 (+4),2 (-4),12 (+1),7 (-2), Perception +4,,,, pétrifiée," vision dans le noir 18 m, Perception passive 14", —, 5 (1800 PX)
208,Goristro,Fiélon (démon) , TG, chaotique mauvais, 19 (armure naturelle),310 (23d12 + 161),25 (+7),11 (+0),25 (+7),6 (-2),13 (+1),14 (+2), Perception +7," For +13, Dex +6, Con +13, Sag +7", poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision dans le noir 36 m, Perception passive 17", abyssal, 17 (18000 PX)
209,Goule,Mort-vivant , M, chaotique mauvais, 12,22 (5d8),13 (+1),15 (+2),10 (+0),7 (-2),10 (+0),6 (-2),,, poison,," charmé, empoisonné, épuisement"," vision dans le noir 18 m, Perception passive 10", commun, 1 (200 PX)
210,Grand singe,Bête , M, sans alignement, 12,19 (3d8 + 6),16 (+3),14 (+2),14 (+2),6 (-2),12 (+1),7 (-2)," Athlétisme +5, Perception +3",,,,, Perception passive 13, —, 1/2 (100 PX)
211,Grell,Aberration , M, neutre mauvais, 12,55 (10d8 + 10),15 (+2),14 (+2),13 (+1),12 (+1),11 (+0),9 (-1)," Discrétion +6, Perception +4",, foudre,," aveuglé, à terre"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 14", grell, 3 (700 PX)
212,Grenouille,Bête , TP, sans alignement, 11,1 (1d4 - 1),1 (-5),13 (+1),8 (-1),1 (-5),8 (-1),3 (-4)," Discrétion +3, Perception +1",,,,," vision dans le noir 9 m, Perception passive 11", —, 0 (0 PX)
213,Grenouille géante,Bête , M, sans alignement, 11,18 (4d8),12 (+1),13 (+1),11 (+0),2 (-4),10 (+0),3 (-4)," Discrétion +3, Perception +2",,,,," vision dans le noir 9 m, Perception passive 12", —, 1/4 (50 PX)
214,Grick,Monstruosité , M, neutre, 14 (armure naturelle),27 (6d8),14 (+2),14 (+2),11 (+0),3 (-4),14 (+2),5 (-3),,,," contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 12", —, 2 (450 PX)
215,Grick dominant,Monstruosité , G, neutre, 18 (armure naturelle),75 (10d10 + 20),18 (+4),16 (+3),15 (+2),4 (-3),14 (+2),9 (-1),,,," contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 12", —, 7 (2900 PX)
216,Griffe rampante,Mort-vivant , TP, neutre mauvais, 12,2 (1d4),13 (+1),14 (+2),11 (+0),5 (-3),10 (+0),4 (-3),,, poison,," charmé, épuisement, empoisonné"," vision aveugle 9 m (aveugle au-delà de ce rayon), Perception passive 10", comprend le commun mais ne peut pas parler, 0 (10 PX)
217,Griffon,Monstruosité , G, sans alignement, 12,59 (7d10 + 21),18 (+4),15 (+2),16 (+3),2 (-4),13 (+1),8 (-1), Perception +5,,,,," vision dans le noir 18 m, Perception passive 15", —, 2 (450 PX)
218,Guenaude marine,Fée , M, chaotique mauvais, 14 (armure naturelle),52 (7d8 + 21),16 (+3),13 (+1),16 (+3),12 (+1),12 (+1),13 (+1),,,,,," vision dans le noir 18 m, Perception passive 11"," aquatique, commun, géant", 2 (450 PX)
219,Guenaude nocturne,Fiélon , M, neutre mauvais, 17 (armure naturelle),112 (15d8 + 45),18 (+4),15 (+2),16 (+3),16 (+3),14 (+2),16 (+3)," Discrétion +6, Intuition +6, Perception +6, Tromperie +7",,," froid, feu ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent", charmé," vision dans le noir 36 m, Perception passive 16"," abyssal, commun, infernal, primordial", 5 (1800 PX)
220,Guenaude verte,Fée , M, neutre mauvais, 17 (armure naturelle),82 (11d8 + 33),18 (+4),12 (+1),16 (+3),13 (+1),14 (+2),14 (+2)," Arcanes +3, Discrétion +3, Perception +4, Tromperie +4",,,,," vision dans le noir 18 m, Perception passive 14"," commun, draconique, sylvestre", 3 (700 PX)
221,Guêpe géante,Bête , M, sans alignement, 12,13 (3d8),10 (+0),14 (+2),10 (+0),1 (-5),10 (+0),3 (-4),,,,,, Perception passive 10, —, 1/2 (100 PX)
222,Guerrier tribal,Humanoïde (toute race) , M, tout alignement, 12 (armure de peaux),11 (2d8 + 2),13 (+1),11 (+0),12 (+1),8 (-1),11 (+0),8 (-1),,,,,, Perception passive 10, une langue au choix, 1/8 (25 PX)
223,Gynosphinx,Monstruosité , G, loyal neutre, 17 (armure naturelle),136 (16d10 + 48),18 (+4),15 (+2),16 (+3),18 (+4),18 (+4),18 (+4)," Arcanes +12, Histoire +12, Perception +8, Religion +8",, psychique," contondant, perforant et tranchant d'attaques non magiques"," charmé, effrayé"," vision véritable 36 m, Perception passive 18"," commun, sphinx", 11 (7200 PX)
224,Harpie,Monstruosité , M, chaotique mauvais, 11,38 (7d8 + 7),12 (+1),13 (+1),12 (+1),7 (-2),10 (+0),13 (+1),,,,,, Perception passive 10, commun, 1 (200 PX)
225,Hezrou,Fiélon (démon) , G, chaotique mauvais, 16 (armure naturelle),136 (13d10 + 65),19 (+4),17 (+3),20 (+5),5 (-3),12 (+1),13 (+1),," For +7, Con +8, Sag +4", poison," froid, feu, foudre ; contondant, perforant et tranchant d'attaques non magiques", empoisonné," vision dans le noir 36 m, Perception passive 11"," abyssal, télépathie 36 m", 8 (3900 PX)
226,Hippocampe,Bête , TP, sans alignement, 11,1 (1d4 - 1),1 (-5),12 (+1),8 (-1),1 (-5),10 (+0),2 (-4),,,,,, Perception passive 10, —, 0 (0 PX)
227,Hippocampe géant,Bête , G, sans alignement, 13 (armure naturelle),16 (3d10),12 (+1),15 (+2),11 (+0),2 (-4),12 (+1),5 (-3),,,,,, Perception passive 11, —, 1/2 (100 PX)
228,Hippogriffe,Monstruosité , G, sans alignement, 11,19 (3d10 + 3),17 (+3),13 (+1),13 (+1),2 (-4),12 (+1),8 (-1), Perception +5,,,,, Perception passive 15, —, 1 (200 PX)
229,Hobgobelin,Humanoïde (gobelinoïde) , M, loyal mauvais," 18 (cotte de mailles, bouclier)",11 (2d8 + 2),13 (+1),12 (+1),12 (+1),10 (+0),10 (+0),9 (-1),,,,,," vision dans le noir 18 m, Perception passive 10"," commun, gobelin", 1/2 (100 PX)
230,"Hobgobelin, capitaine",Humanoïde (gobelinoïde) , M, loyal mauvais, 17 (demi-plate),39 (6d8 + 12),15 (+2),14 (+2),14 (+2),12 (+1),10 (+0),13 (+1),,,,,," vision dans le noir 18 m, Perception passive 10"," commun, gobelin", 3 (700 PX)
231,"Hobgobelin, seigneur de guerre",Humanoïde (gobelinoïde) , M, loyal mauvais," 20 (harnois, bouclier)",97 (13d8 + 39),16 (+3),14 (+2),16 (+3),14 (+2),11 (+0),15 (+2),," Int +5, Sag +3, Cha +5",,,," vision dans le noir 18 m, Perception passive 10"," commun, gobelin", 6 (2300 PX)
232,Homme-lézard,Humanoïde (homme-lézard) , M, neutre," 15 (armure naturelle, bouclier)",22 (4d8 + 4),15 (+2),10 (+0),13 (+1),7 (-2),12 (+1),7 (-2)," Discrétion +4, Perception +3, Survie +5",,,,, Perception passive 13, draconique, 1/2 (100 PX)
233,"Homme-lézard, chaman",Humanoïde (homme-lézard) , M, neutre, 13 (armure naturelle),27 (5d8 + 5),15 (+2),10 (+0),13 (+1),10 (+0),15 (+2),8 (-1)," Discrétion +4, Perception +4, Survie +6",,,,, Perception passive 14, draconique, 2 (450 PX)
234,Homme-poisson,Humanoïde (homme-poisson) , M, neutre, 11,11 (2d8 + 2),10 (+0),13 (+1),12 (+1),11 (+0),11 (+0),12 (+1), Perception +2,,,,, Perception passive 12," aquatique, commun", 1/8 (25 PX)
235,Homoncule,Artificiel , TP, neutre, 13 (armure naturelle),5 (2d4),4 (-3),15 (+2),11 (+0),10 (+0),10 (+0),7 (-2),,, poison,," charmé, empoisonné"," vision dans le noir 18 m, Perception passive 10", comprend les langues de son créateur mais ne peut pas parler, 0 (10 PX)
236,Horreur casquée,Artificiel , M, neutre," 20 (harnois, bouclier)",60 (8d8 + 24),18 (+4),13 (+1),16 (+3),10 (+0),10 (+0),10 (+0), Perception +4,," force, nécrotique, poison"," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantium"," aveuglé, charmé, assourdi, effrayé, paralysé, pétrifié, empoisonné, étourdi"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 14", comprend les langues de son créateur mais ne peut pas parler, 4 (1100 PX)
237,Horreur crochue,Monstruosité , G, neutre, 15 (armure naturelle),75 (10d10 + 20),18 (+4),10 (+0),15 (+2),6 (-2),12 (+1),7 (-2), Perception +3,,,,," vision aveugle 18 m, vision dans le noir 36 m, Perception passive 13", horreur crochue, 3 (700 PX)
238,Hydre,Monstruosité , TG, sans alignement, 15 (armure naturelle),172 (15d12 + 75),20 (+5),12 (+1),20 (+5),2 (-4),10 (+0),7 (-2), Perception +6,,,,," vision dans le noir 18 m, Perception passive 16", —, 8 (3900 PX)
239,Hyène,Bête , M, sans alignement, 11,5 (1d8 + 1),11 (+0),13 (+1),12 (+1),2 (-4),12 (+1),5 (-3), Perception +3,,,,, Perception passive 13, —, 0 (10 PX)
240,Hyène géante,Bête , G, sans alignement, 12,45 (6d10 + 12),16 (+3),14 (+2),14 (+2),2 (-4),12 (+1),7 (-2), Perception +3,,,,, Perception passive 13, —, 1 (200 PX)
241,Kenku,Humanoïde (kenku) , M, chaotique neutre, 13,13 (3d8),10 (+0),16 (+3),10 (+0),11 (+0),10 (+0),10 (+0)," Discrétion +5, Perception +2, Tromperie +4",,,,, Perception passive 12, comprend l'aérien et le commun mais ne peut parler qu'en utilisant son trait Imitation des sons, 1/4 (50 PX)
242,Kobold,Humanoïde (kobold) , P, loyal mauvais, 12,5 (2d6 - 2),7 (-2),15 (+2),9 (-1),8 (-1),7 (-2),8 (-1),,,,,," vision dans le noir 18 m, Perception passive 8"," commun, draconique", 1/8 (25 PX)
243,Kobold ailé,Humanoïde (kobold) , P, loyal mauvais, 13,7 (3d6 - 3),7 (-2),16 (+3),9 (-1),8 (-1),7 (-2),8 (-1),,,,,," vision dans le noir 18 m, Perception passive 8"," commun, draconique", 1/4 (50 PX)
244,Kraken,Monstruosité (titan) , Gig, chaotique mauvais, 18 (armure naturelle),472 (27d20 + 189),30 (+10),11 (+0),25 (+7),22 (+6),18 (+4),20 (+5),," For +17, Dex +7, Con +14, Int +13, Sag +11"," foudre ; contondant, perforant et tranchant d'attaques non magiques",," effrayé, paralysé"," vision véritable 36 m, Perception passive 14"," comprend l'abyssal, le céleste, l'infernal et le primordial mais ne peut pas parler, télépathie 36 m", 23 (50000 PX)
245,Kuo-toa,Humanoïde (kuo-toa) , M, neutre mauvais," 13 (armure naturelle, bouclier)",18 (4d8),13 (+1),10 (+0),11 (+0),11 (+0),10 (+0),8 (-1), Perception +4,,,,," vision dans le noir 36 m, Perception passive 14", commun des profondeurs, 1/4 (50 PX)
246,"Kuo-toa, archiprêtre",Humanoïde (kuo-toa) , M, neutre mauvais, 13 (armure naturelle),97 (13d8 + 39),16 (+3),14 (+2),16 (+3),13 (+1),16 (+3),14 (+2)," Perception +9, Religion +6",,,,," vision dans le noir 36 m, Perception passive 19", commun des profondeurs, 6 (2300 PX)
247,"Kuo-toa, fouet",Humanoïde (kuo-toa) , M, neutre mauvais, 11 (armure naturelle),65 (10d8 + 20),14 (+2),10 (+0),14 (+2),12 (+1),14 (+2),11 (+0)," Perception +6, Religion +4",,,,," vision dans le noir 36 m, Perception passive 16", commun des profondeurs, 1 (200 PX)
248,Lamie,Monstruosité , G, chaotique mauvais, 13 (armure naturelle),97 (13d10 + 26),16 (+3),13 (+1),15 (+2),14 (+2),15 (+2),16 (+3)," Discrétion +3, Intuition +4, Tromperie +7",,,,," vision dans le noir 18 m, Perception passive 12"," abyssal, commun", 4 (1100 PX)
249,Lémure,Fiélon (diable) , M, loyal mauvais, 7,13 (3d8),10 (+0),5 (-3),11 (+0),1 (-5),11 (+0),3 (-4),,," feu, poison", froid," charmé, effrayé, empoisonné"," vision dans le noir 36 m, Perception passive 10", comprend l'infernal mais ne peut pas parler, 0 (10 PX)
250,Lézard,Bête , TP, sans alignement, 10,2 (1d4),2 (-4),11 (+0),10 (+0),1 (-5),8 (-1),3 (-4),,,,,," vision dans le noir 9 m, Perception passive 9", —, 0 (10 PX)
251,Lézard géant,Bête , G, sans alignement, 12 (armure naturelle),19 (3d10 + 3),15 (+2),12 (+1),13 (+1),2 (-4),10 (+0),5 (-3),,,,,," vision dans le noir 9 m, Perception passive 10", —, 1/4 (50 PX)
252,Liche,Mort-vivant , M, tout alignement mauvais, 17 (armure naturelle),135 (18d8 + 54),11 (+0),16 (+3),16 (+3),20 (+5),14 (+2),16 (+3)," Arcanes +19, Histoire +12, Intuition +9, Perception +9"," Con +10, Int +12, Sag +9"," poison ; contondant, perforant et tranchant d'attaques non magiques"," froid, foudre, nécrotique"," charmé, épuisement, effrayé, paralysé, empoisonné"," vision véritable 36 m, Perception passive 19", commun et jusqu'à cinq autres langues, 21 (33000 PX)
253,Licorne,Céleste , G, loyal bon, 12,67 (9d10 + 18),18 (+4),14 (+2),15 (+2),11 (+0),17 (+3),16 (+3),,, poison,," charmé, paralysé, empoisonné"," vision dans le noir 18 m, Perception passive 13"," céleste, elfique, sylvestre, télépathie 18 m", 5 (1800 PX)
254,Lierreux,Plante , M, neutre mauvais, 12 (armure naturelle),26 (4d8 + 8),15 (+2),8 (-1),14 (+2),5 (-3),10 (+0),3 (-4), Discrétion +1,,,," aveuglé, assourdi"," vision aveugle 18 m (aveugle au-delà de ce rayon), Perception passive 10", commun, 1/2 (100 PX)
255,Lion,Bête , G, sans alignement, 12,26 (4d10 + 4),17 (+3),15 (+2),13 (+1),3 (-4),12 (+1),8 (-1)," Discrétion +6, Perception +3",,,,, Perception passive 13, —, 1 (200 PX)
256,Loup,Bête , M, sans alignement, 13 (armure naturelle),11 (2d8 + 2),12 (+1),15 (+2),12 (+1),3 (-4),12 (+1),6 (-2)," Discrétion +4, Perception +3",,,,, Perception passive 13, —, 1/4 (50 PX)
257,Loup arctique,Monstruosité , G, neutre mauvais, 13 (armure naturelle),75 (10d10 + 20),18 (+4),13 (+1),14 (+2),7 (-2),12 (+1),8 (-1)," Discrétion +3, Perception +5",, froid,,, Perception passive 15," commun, géant, loup arctique", 3 (700 PX)
258,Loup sanguinaire,Bête , G, sans alignement, 14 (armure naturelle),37 (5d10 + 10),17 (+3),15 (+2),15 (+2),3 (-4),12 (+1),7 (-2)," Discrétion +4, Perception +3",,,,, Perception passive 13, —, 1 (200 PX)
259,Loup-garou,"Humanoïde (humain, métamorphe) ", M, chaotique mauvais," 11 sous forme humanoïde, 12 (armure naturelle) sous forme de loup ou sous forme hybride",58 (9d8 + 18),15 (+2),13 (+1),14 (+2),10 (+0),11 (+0),10 (+0)," Discrétion +3, Perception +4",," contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent",,, Perception passive 14, commun (ne peut pas parler sous forme de loup), 3 (700 PX)
260,Mage,Humanoïde (toute race) , M, tout alignement," 12 (15 avec <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=armure-de-mage"">armure de mage</a></em>)",40 (9d8),9 (-1),14 (+2),11 (+0),17 (+3),12 (+1),11 (+0)," Arcanes +6, Histoire +6"," Int +6, Sag +4",,,, Perception passive 11, quatre langues au choix, 6 (2300 PX)
261,Magmatique,Élémentaire , P, chaotique neutre, 14 (armure naturelle),9 (2d6 + 2),7 (-2),15 (+2),12 (+1),8 (-1),11 (+0),10 (+0),,, feu," contondant, perforant et tranchant d'attaques non magiques",," vision dans le noir 18 m, Perception passive 10", igné, 1/2 (100 PX)
262,Malfrat,Humanoïde (toute race) , M, tout alignement non bon, 11 (armure de cuir),32 (5d8 + 10),15 (+2),11 (+0),14 (+2),10 (+0),10 (+0),11 (+0), Intimidation +2,,,,, Perception passive 10, une langue au choix (généralement le commun), 1/2 (100 PX)
263,Mammouth,Bête , TG, sans alignement, 13 (armure naturelle),126 (11d12 + 55),24 (+7),9 (-1),21 (+5),3 (-4),11 (+0),6 (-2),,,,,, Perception passive 10, —, 6 (2300 PX)
